Season,Name,Team,playerid
2019,Gerrit Cole,Astros,13125
1983,Steve Carlton,Phillies,1001964
2003,Pedro Martinez,Red Sox,200
1884,Bobby Mathews,Athletics,1008234
2002,Pedro Martinez,Red Sox,200
1973,Wilbur Wood,White Sox,1014248
1968,Luis Tiant,Indians,1013054
2008,CC Sabathia,- - -,404
1944,Hal Newhouser,Tigers,1009535
2011,Clayton Kershaw,Dodgers,2036
2010,Cliff Lee,- - -,1636
1999,Kevin Brown,Dodgers,642
1909,Mordecai Brown,Cubs,1001547
1966,Gaylord Perry,Giants,1010210
1931,Lefty Grove,Athletics,1005099
1893,Cy Young,Spiders,1014369
1973,Tom Seaver,Mets,1011708
1884,Charlie Sweeney,- - -,1012774
1969,Larry Dierker,Astros,1003288
1965,Jim Bunning,Phillies,1001653
1997,Andy Pettitte,Yankees,840
1911,Pete Alexander,Phillies,1000128
1914,Pete Alexander,Phillies,1000128
1890,Harry Staley,Burghers,1012389
2001,Curt Schilling,Diamondbacks,73
1890,Amos Rusie,Giants,1011308
2017,Corey Kluber,Indians,2429
1968,Denny McLain,Tigers,1008603
1886,Tim Keefe,Giants,1006743
1935,Lefty Grove,Red Sox,1005099
1914,Jack Quinn,Terrapins,1010605
2013,Clayton Kershaw,Dodgers,2036
2000,Greg Maddux,Braves,104
1946,Tex Hughson,Red Sox,1006169
1975,Frank Tanana,Angels,1012818
1974,Phil Niekro,Braves,1009583
2014,Corey Kluber,Indians,2429
2008,Tim Lincecum,Giants,5705
1971,Don Sutton,Dodgers,1012745
1986,Roger Clemens,Red Sox,815
1898,Kid Nichols,Beaneaters,1009564
1888,Ed Seward,Athletics,1011763
1885,Guy Hecker,Colonels,1005573
1888,Charlie Buffinton,Quakers,1001634
1960,Bob Friend,Pirates,1004355
1954,Robin Roberts,Phillies,1011046
1932,Lefty Grove,Athletics,1005099
1887,Elmer Smith,Red Stockings,1012134
2011,Cliff Lee,Phillies,1636
1884,Jack Lynch,Metropolitans,1007864
1892,Cy Young,Spiders,1014369
1993,Jose Rijo,Reds,349
1937,Lefty Grove,Red Sox,1005099
1971,Joe Coleman,Tigers,1002428
2005,Johan Santana,Twins,755
1928,Dazzy Vance,Robins,1013342
1952,Robin Roberts,Phillies,1011046
1891,Bill Hutchison,Colts,1006235
2015,Jake Arrieta,Cubs,4153
2003,Roy Halladay,Blue Jays,1303
1884,Bill Sweeney,Monumentals,1012770
1977,Steve Rogers,Expos,1011138
