Season,Name,Team,playerid
1961,Gary Bell,Indians,1000806
2012,James McDonald,Pirates,5523
1915,Harry Moran,Pepper,1009148
2001,David Wells,White Sox,855
1995,Mike Henneman,- - -,1005656
1978,Jim Kaat,Phillies,1006660
1948,Rip Sewell,Pirates,1011768
2004,Braden Looper,Mets,526
1962,Cal McLish,Phillies,1008626
1995,Rheal Cormier,Red Sox,952
1969,Bob Miller,Twins,1008877
1983,Bryn Smith,Expos,1012104
1969,Jerry Robertson,Expos,1011036
1978,John D'Acquisto,Padres,1002919
1950,Willie Ramsdell,- - -,1010683
1975,Roric Harrison,- - -,1005430
1980,Rick Rhoden,Pirates,1010887
1997,Jerry Dipoto,Rockies,1003321
1942,Jim Bagby,Indians,1000412
1983,John Montefusco,- - -,1009065
2002,Dan Wright,White Sox,258
1890,Henry Gruber,Infants,1005106
1981,Danny Darwin,Rangers,1002996
1928,Ken Holloway,Tigers,1005966
1969,Gary Nolan,Reds,1009616
2005,Adam Eaton,Padres,1029
1937,Harry Gumbert,Giants,1005141
1923,Whitey Glazner,- - -,1004763
2011,Jeremy Guthrie,Orioles,2072
2001,Robert Person,Phillies,966
2000,Jeff Tam,Athletics,940
1954,Bob Miller,Phillies,1008875
1939,Joe Bowman,Pirates,1001269
1960,Bill Fischer,- - -,1004066
1993,Bruce Ruffin,Rockies,1011294
1918,George Cunningham,Tigers,1002880
2011,Ryan Vogelsong,Giants,1011
1943,Ed Head,Dodgers,1005542
1942,Mel Harder,Indians,1005339
2000,Jose Silva,Pirates,354
1918,Mule Watson,Athletics,1013682
2015,Rick Porcello,Red Sox,2717
1934,Bump Hadley,Browns,1005186
2009,Ryan Rowland-Smith,Mariners,3245
1977,Craig Swan,Mets,1012754
1955,Murry Dickson,Phillies,1003282
2005,Jason Vargas,Marlins,8044
1943,Orie Arntzen,Athletics,1000324
1946,Sam Zoldak,Browns,1014458
2012,Paul Maholm,- - -,8678
1983,Dave Stewart,- - -,1012519
2015,David Robertson,White Sox,8241
1892,Brickyard Kennedy,Grooms,1006836
1969,Nolan Ryan,Mets,1011348
2007,Micah Owings,Diamondbacks,4253
1995,Pete Harnisch,Mets,1005374
1999,Anthony Telford,Expos,1282
1965,Wally Bunker,Orioles,1001652
2013,Matt Moore,Rays,1890
1963,Bob Shaw,Braves,1011819
1997,Ramiro Mendoza,Yankees,836
1926,Jesse Barnes,Robins,1000566
1961,Bud Daley,- - -,1002942
2004,Jarrod Washburn,Angels,40
1908,Bill Burns,Senators,1001701
1991,Mike Boddicker,Royals,1001111
2006,Josh Fogg,Rockies,989
1946,Joe Hatten,Dodgers,1005495
1911,Ed Reulbach,Cubs,1010850
1936,Waite Hoyt,Pirates,1006115
1877,Tricky Nichols,Brown Stockings,1009572
1995,Felipe Lira,Tigers,1007649
2016,Will Harris,Astros,3192
2011,Rafael Betancourt,Rockies,177
1952,Woody Main,Pirates,1008002
1879,Bobby Mathews,Grays,1008234
2009,Trevor Hoffman,Brewers,1035
1978,Ken Kravec,White Sox,1007147
2019,Mike Fiers,Athletics,7754
2009,Rick Porcello,Tigers,2717
1923,Jack Scott,Giants,1011683
1994,Jim Bullinger,Cubs,1001646
2005,Curt Schilling,Red Sox,73
2006,Mark Buehrle,White Sox,225
2004,Jason Isringhausen,Cardinals,1158
1975,Darold Knowles,Cubs,1007058
1889,Henry Gruber,Spiders,1005106
1989,Don Robinson,Giants,1011061
1937,Jim Weaver,Pirates,1013699
2010,Hisanori Takahashi,Mets,10091
2014,Jorge De La Rosa,Rockies,2047
1957,Sandy Koufax,Dodgers,1007124
1920,Bill Sherdel,Cardinals,1011869
1994,Chris Bosio,Mariners,1001212
2006,Paul Byrd,Indians,594
2006,Aaron Heilman,Mets,1751
1959,Bobby Shantz,Yankees,1011804
1906,Gus Dorner,- - -,1003414
1934,Phil Collins,Phillies,1002461
2012,Joe Nathan,Rangers,1122
1992,Roberto Hernandez,White Sox,605
1982,Jon Matlack,Rangers,1008246
1974,Dave Giusti,Pirates,1004748
1990,Danny Jackson,Reds,1006295
1983,Dennis Lamp,White Sox,1007284
1996,Greg McMichael,Braves,1008640
1970,Jim Colborn,Cubs,1002409
1926,Johnny Morrison,Pirates,1009217
2013,Garrett Richards,Angels,9784
2011,Josh Johnson,Marlins,4567
1929,Lefty Stewart,Browns,1012524
1934,Johnny Murphy,Yankees,1009368
2018,Clay Buchholz,Diamondbacks,3543
1964,Joe Gibbon,Pirates,1004658
1978,Andy Hassler,- - -,1005480
1957,Sal Maglie,- - -,1007968
1940,Jack Knott,White Sox,1007053
1968,Jim McGlothlin,Angels,1008532
1978,Jerry Augustine,Brewers,1000365
1925,Tony Kaufmann,Cubs,1006718
1934,Johnny Babich,Dodgers,1000396
2001,Tom Glavine,Braves,90
1981,Jim Beattie,Mariners,1000731
1993,Pedro Martinez,Dodgers,200
2009,C.J. Wilson,Rangers,3580
2016,Jameson Taillon,Pirates,11674
1911,Bill Burns,- - -,1001701
1939,Schoolboy Rowe,Tigers,1011259
1973,Randy Jones,Padres,1006582
1980,Steve Howe,Dodgers,1006107
1871,Al Pratt,Forest Citys,1010511
1997,Mike Jackson,Indians,732
2018,Rich Hill,Dodgers,4806
2003,Jon Garland,White Sox,232
1900,Jack Chesbro,Pirates,1002179
1917,Rube Benton,Giants,1000857
1975,Stan Bahnsen,- - -,1000414
1945,George Dockins,Cardinals,1003347
1979,Bill Bonham,Reds,1001165
1909,Jim Scott,White Sox,1011684
1938,Oral Hildebrand,Browns,1005804
1949,Ralph Branca,Dodgers,1001343
1957,Don Elston,- - -,1003759
1968,Dick Selma,Mets,1011737
2005,Trevor Hoffman,Padres,1035
1964,Don Lee,Angels,1007453
1970,Gary Gentry,Mets,1004614
1978,Mike Krukow,Cubs,1007185
1902,Tully Sparks,- - -,1012306
1896,George Hemming,Orioles,1005620
1932,Fred Heimach,Dodgers,1005591
1977,Bill Campbell,Red Sox,1001874
1995,Steve Reed,Rockies,1053
1972,Skip Lockwood,Brewers,1007696
1933,Ben Cantwell,Braves,1001921
1957,Ned Garver,Athletics,1004556
2014,Yusmeiro Petit,Giants,4020
1938,Joe Heving,- - -,1005758
1991,Mike Mussina,Orioles,837
2016,Roberto Osuna,Blue Jays,13764
2015,Tommy Milone,Twins,7608
2018,Ryan Borucki,Blue Jays,16350
1989,Walt Terrell,- - -,1012924
1921,Jimmy Zinn,Pirates,1014452
2007,Jon Rauch,Nationals,1475
1955,Bobby Shantz,Athletics,1011804
1970,Earl Wilson,- - -,1014073
2013,Miguel Gonzalez,Orioles,7024
2001,Odalis Perez,Braves,668
1998,Ken Hill,Angels,1005827
1923,Rosy Ryan,Giants,1011349
1996,Sid Fernandez,Phillies,1004001
1940,Dizzy Trout,Tigers,1013196
2012,Zach McAllister,Indians,2895
1935,Ed Heusser,Cardinals,1005756
1971,Ernie McAnally,Expos,1008325
1998,Jimmy Key,Orioles,1006885
2007,Jake Westbrook,Indians,412
1996,Donne Wall,Astros,39
2012,Bud Norris,Astros,9492
2018,Dellin Betances,Yankees,6216
2009,Joba Chamberlain,Yankees,2692
1956,Johnny Klippstein,Redlegs,1007013
1979,Rick Waits,Indians,1013494
1937,John Whitehead,White Sox,1013882
1994,Jon Lieber,Pirates,287
2017,Luis Perdomo,Padres,14682
1922,Slim Harriss,Athletics,1005431
1964,Dick Ellsworth,Cubs,1003754
1995,William Van Landingham,Giants,1013358
1996,Dan Plesac,Pirates,1319
1883,Dupee Shaw,Wolverines,1011821
1969,Jim McAndrew,Mets,1008328
1906,Bill Dineen,Americans,1003317
1897,Danny Friend,Colts,1004356
1986,Jose Rijo,Athletics,349
1932,Van Mungo,Dodgers,1009321
1915,George Pearce,Cubs,1010104
1976,Kent Tekulve,Pirates,1012905
1994,Jose Mesa,Indians,961
1947,Cliff Fannin,Browns,1003921
1930,Tommy Thomas,White Sox,1012996
2010,Ian Kennedy,Diamondbacks,6986
1988,Don August,Brewers,1000364
1989,John Wetteland,Dodgers,1013815
1928,Eddie Rommel,Athletics,1011174
1979,Jack Billingham,Tigers,1000970
1906,Andy Coakley,Athletics,1002372
1952,Bob Kelly,Cubs,1006795
1983,Mike Scott,Astros,1011691
1977,Ron Reed,Phillies,1010773
1998,Troy Percival,Angels,29
1982,Rick Langford,Athletics,1007319
1954,Allie Reynolds,Yankees,1010860
1988,Randy Myers,Mets,1009427
2003,Jose Contreras,Yankees,1660
1997,Jason Dickson,Angels,1003278
1977,Wayne Twitchell,- - -,1013244
1887,Pete Conway,Wolverines,1002557
1912,Bob Harmon,Cardinals,1005371
2014,Hector Rondon,Cubs,2391
1949,Max Lanier,Cardinals,1007325
1981,Jim Bibby,Pirates,1000945
1950,Connie Marrero,Senators,1008126
2006,Dan Wheeler,Astros,120
1921,Jesse Winters,Phillies,1014146
1931,Ben Cantwell,Braves,1001921
2018,Jose Quintana,Cubs,11423
2011,Phil Coke,Tigers,5535
2015,Jesse Hahn,Athletics,13287
2001,Mike Stanton,Yankees,849
1957,Art Ditmar,Yankees,1003328
1999,Jim Parque,White Sox,250
1962,Steve Hamilton,Senators,1005277
1969,Vicente Romo,- - -,1011177
1998,Brian Meadows,Marlins,998
2001,Jimmy Haynes,Brewers,329
2004,Paul Byrd,Braves,594
1962,Hoyt Wilhelm,Orioles,1013945
1905,Frank Kitson,Tigers,1006981
1976,Bill Campbell,Twins,1001874
1961,Frank Sullivan,Phillies,1012691
2007,Carlos Marmol,Cubs,2790
1879,Curry Foley,Red Caps,1004195
2014,Homer Bailey,Reds,8362
2018,Jose Urena,Marlins,11589
1986,Joe Cowley,White Sox,1002690
1956,Don Drysdale,Dodgers,1003516
1982,Jeff Reardon,Expos,1010741
1936,Joe Cascarella,- - -,1002031
2010,Madison Bumgarner,Giants,5524
1910,Ed Summers,Tigers,1012719
2010,Jake Peavy,White Sox,1051
1984,Walt Terrell,Mets,1012924
1953,Billy Loes,Dodgers,1007699
1923,Mike Cvengros,White Sox,1002916
2000,Scott Schoeneweis,Angels,33
1996,Doug Drabek,Astros,1003473
2000,Scott Elarton,Astros,426
2010,Carlos Silva,Cubs,973
1982,Luis Sanchez,Angels,1011408
1939,Vance Page,Cubs,1009957
2001,Ramiro Mendoza,Yankees,836
1940,Hal Newhouser,Tigers,1009535
1957,Vinegar Bend Mizell,Cardinals,1009015
2014,Dan Haren,Dodgers,1757
1987,Lance McCullers,Padres,1008436
1977,Doyle Alexander,Rangers,1000122
2007,Daniel Cabrera,Orioles,1931
1917,Guy Morton,Indians,1009232
1949,Dick Fowler,Athletics,1004270
2011,Tim Stauffer,Padres,6432
2003,Octavio Dotel,Astros,555
1905,Clark Griffith,Highlanders,1005038
1961,Earl Francis,Pirates,1004289
2010,Luke Hochevar,Royals,6943
1963,Bob Heffner,Red Sox,1005578
1936,Jack Knott,Browns,1007053
1945,Bob Muncrief,Browns,1009317
2006,James Shields,Devil Rays,7059
1997,Armando Benitez,Orioles,865
1923,Johnny Couch,- - -,1002666
1991,Dennis Rasmussen,Padres,1010703
2001,Paul Quantrill,Blue Jays,669
1884,Pete Meegan,Virginians,1008720
1945,Rip Sewell,Pirates,1011768
1885,Toad Ramsey,Colonels,1010688
2017,Brad Hand,Padres,9111
1961,Hoyt Wilhelm,Orioles,1013945
1953,Harry Perkowski,Reds,1010195
1935,Danny MacFayden,- - -,1007904
1989,Dennis Eckersley,Athletics,1003660
1943,Bucky Walters,Reds,1013583
2016,Ubaldo Jimenez,Orioles,3374
1984,Bob Knepper,Astros,1007031
2015,Patrick Corbin,Diamondbacks,9323
2002,Billy Wagner,Astros,578
2009,Ross Ohlendorf,Pirates,8268
1985,Willie Hernandez,Tigers,1005714
1988,Alejandro Pena,Dodgers,1010140
1904,Frank Smith,White Sox,1012139
1951,Bill Wight,Red Sox,1013933
2011,Jeff Niemann,Rays,8591
1915,Hank Robinson,Cardinals,1011067
1921,Elam Vangilder,Browns,1013355
1976,Mark Littell,Royals,1007657
1999,Mike Thurman,Expos,852
1921,Eric Erickson,Senators,1003806
2009,Tommy Hunter,Rangers,1157
1941,Elden Auker,Browns,1000366
1913,George Pearce,Cubs,1010104
2002,Sidney Ponson,Orioles,161
1960,Bob Shaw,White Sox,1011819
2020,Sonny Gray,Reds,12768
2004,Orlando Hernandez,Yankees,823
2014,Tim Hudson,Giants,921
1973,Woodie Fryman,Tigers,1004381
1984,Jeff Russell,Reds,1011314
1894,Dan Daub,Grooms,1003003
2012,Jeff Francis,Rockies,4684
1954,Ellis Kinder,Red Sox,1006922
1935,Ed Linke,Senators,1007637
1990,Mark Portugal,Astros,1010460
1962,Juan Marichal,Giants,1008106
1986,Shane Rawley,Phillies,1010719
1922,Hub Pruett,Browns,1010551
1991,Tom Henke,Blue Jays,1005649
2004,Randy Wolf,Phillies,976
1987,Joe Niekro,- - -,1009582
1930,Freddie Fitzsimmons,Giants,1004122
2013,Jason Vargas,Angels,8044
2011,Jeff Francis,Royals,4684
1959,John Tsitouris,Athletics,1013208
1874,Tommy Bond,Atlantics,1001158
1998,Doug Brocail,Tigers,551
1915,Christy Mathewson,Giants,1008235
2000,Jason Bere,- - -,266
1912,Buster Brown,Braves,1001499
1975,Bruce Kison,Pirates,1006978
1884,Ed Dugan,Virginians,1003536
1925,Guy Bush,Cubs,1001752
1921,Leon Cadore,Robins,1001811
1997,Chad Ogea,Indians,1009744
1941,Johnny Niggeling,Browns,1009596
1962,Ron Perranoski,Dodgers,1010201
2010,Joaquin Benoit,Rays,1437
1934,Euel Moore,Phillies,1009105
1968,George Brunet,Angels,1001590
2008,Cha Seung Baek,- - -,8214
1936,Buck Ross,Athletics,1011224
1986,Kelly Downs,Giants,1003453
1967,Joe Coleman,Senators,1002428
2016,Brad Brach,Orioles,6627
1973,George Stone,Mets,1012565
1915,Rankin Johnson,- - -,1006492
1908,Elmer Steele,Red Sox,1012451
1965,Jim Perry,Twins,1010213
1998,Brian Bohanon,- - -,1001126
1990,Bert Blyleven,Angels,1001098
1932,George Earnshaw,Athletics,1003633
2015,Martin Perez,Rangers,6902
1940,Bill Posedel,Bees,1010462
1948,Satchel Paige,Indians,1009962
1970,Wayne Simpson,Reds,1011999
1928,Red Lucas,Reds,1007808
2015,Raisel Iglesias,Reds,17130
1978,Paul Hartzell,Angels,1005467
1907,Fred Glade,Browns,1004753
1996,Kevin Ritz,Rockies,1010998
1963,Bob Sadowski,Braves,1011363
1945,Dick Mauney,Phillies,1008275
1952,Julio Moreno,Senators,1009165
1995,Scott Karl,Brewers,1006703
1996,Mark Langston,Angels,1007323
2010,Homer Bailey,Reds,8362
1912,George Kahler,Naps,1006665
1982,Craig Swan,Mets,1012754
1906,Roy Patterson,White Sox,1010071
1914,Bill James,Browns,1006343
2013,Tim Hudson,Braves,921
1923,Joe Genewich,Braves,1004609
1981,Larry Christenson,Phillies,1002215
1991,Larry Andersen,Padres,1000236
2006,Rodrigo Lopez,Orioles,150
1916,Bob Harmon,Pirates,1005371
1952,Walt Masterson,- - -,1008230
1931,Carl Fischer,Senators,1004067
2002,Brandon Duckworth,Phillies,954
1923,Earl Hamilton,Pirates,1005273
1938,Dizzy Dean,Cubs,1003106
2018,Chad Green,Yankees,15552
1939,Lon Warneke,Cardinals,1013637
1904,Mike Lynch,Pirates,1007867
1964,Diego Segui,Athletics,1011725
2010,Kyle Davies,Royals,3642
1951,Sid Hudson,Senators,1006141
2007,Bob Howry,Cubs,237
1964,Jack Lamabe,Red Sox,1007266
1980,Pete Redfern,Twins,1010751
1966,Marcelino Lopez,Angels,1007757
1961,Gene Conley,Red Sox,1002507
1893,Jock Menefee,Colonels,1008763
1949,Ted Wilks,Cardinals,1013962
1983,Dave Rozema,Tigers,1011273
1976,Ken Holtzman,- - -,1005989
1996,Mark Portugal,Reds,1010460
1969,Ray Washburn,Cardinals,1013652
2003,Geremi Gonzalez,Devil Rays,1711
1959,Gerry Staley,White Sox,1012388
1981,Tommy Boggs,Braves,1001123
1995,John Wetteland,Yankees,1013815
1987,Steve Ontiveros,Athletics,1009826
1924,Ted Lyons,White Sox,1007887
2020,Rick Porcello,Mets,2717
2012,Luis Mendoza,Royals,3126
1928,Guy Bush,Cubs,1001752
1996,Eric Plunk,Indians,1010400
1915,Bob Shawkey,- - -,1011825
2003,Mark Hendrickson,Blue Jays,1574
2004,Josh Fogg,Pirates,989
1929,Red Ruffing,Red Sox,1011296
1936,Jack Wilson,Red Sox,1014087
2000,Felix Rodriguez,Giants,1127
2012,Grant Balfour,Athletics,718
1995,John Ericks,Pirates,1003809
1942,Howie Krist,Cardinals,1007167
1990,Jim Neidlinger,Dodgers,1009487
2002,Jason Johnson,Orioles,147
1917,Rube Schauer,Athletics,1011529
1934,Oral Hildebrand,Indians,1005804
1932,Danny MacFayden,- - -,1007904
2007,Taylor Buchholz,Rockies,2168
2011,Brett Myers,Astros,962
2010,Jeff Francis,Rockies,4684
1930,Firpo Marberry,Senators,1008100
1958,Bob Mabe,Cardinals,1007896
1983,Dickie Noles,Cubs,1009620
1916,Carl Mays,Red Sox,1008313
1939,Harry Eisenstat,- - -,1003717
1996,Randy Johnson,Mariners,60
2017,Seth Lugo,Mets,12447
1990,Steve Farr,Royals,1003953
1975,Dick Bosman,- - -,1001215
2011,Glen Perkins,Twins,8041
1917,Urban Shocker,Yankees,1011918
2012,Bruce Chen,Royals,769
1888,Hank O'Day,Nationals,1009721
1994,Mark Clark,Indians,1002296
2012,Mark Buehrle,Marlins,225
2014,Kyle Hendricks,Cubs,12049
2000,Darren Dreifort,Dodgers,647
1936,Earl Caldwell,Browns,1001829
2013,Tony Cingrani,Reds,12555
1888,Kid Madden,Beaneaters,1007942
1972,Tug McGraw,Mets,1008545
1940,Spud Chandler,Yankees,1002133
2015,Andrew Heaney,Angels,15423
1925,Jesse Barnes,Braves,1000566
1889,Toad Ramsey,- - -,1010688
1988,Zane Smith,Braves,1012218
1995,Bill Pulsipher,Mets,842
2013,Sean Doolittle,Athletics,1581
1934,Bob Weiland,- - -,1013735
1967,Chuck Dobson,Athletics,1003343
1910,Eddie Cicotte,Red Sox,1002236
1892,Duke Esper,- - -,1003827
1985,Jim Clancy,Blue Jays,1002255
1965,Dick Hall,Orioles,1005241
2009,Charlie Morton,Pirates,4676
1917,Al Demaree,- - -,1003187
1926,Paul Zahniser,Red Sox,1014411
1989,Mark Williamson,Orioles,1014022
2000,Masato Yoshii,Rockies,807
1951,Ken Holcombe,White Sox,1005940
1965,Bobby Bolin,Giants,1001146
2000,Wade Miller,Astros,568
1988,Lee Smith,Red Sox,1012175
1938,Joe Krakauskas,Senators,1007134
1895,Al Maul,Senators,1008273
1947,Harry Dorish,Red Sox,1003411
1936,Earl Whitehill,Senators,1013866
1984,Shane Rawley,- - -,1010719
1968,Joe Horlen,White Sox,1006025
2018,Robbie Erlin,Padres,10354
1960,Turk Farrell,Phillies,1003950
1938,Johnny Rigney,White Sox,1010961
1942,Spud Chandler,Yankees,1002133
1991,Tom Gordon,Royals,282
1995,Darren Holmes,Rockies,95
1983,Dave Dravecky,Padres,1003486
1990,Mark Gubicza,Royals,1005115
2013,Kyle Lohse,Brewers,739
2001,Sean Lowe,White Sox,994
1961,Jack Sanford,Giants,1011432
1958,Mike McCormick,Giants,1008420
1977,Bob Shirley,Padres,1011911
2004,Michael Gonzalez,Pirates,1794
2019,Steven Matz,Mets,13361
1918,Roy Sanders,Pirates,1011420
1933,Huck Betts,Braves,1000933
1971,Claude Osteen,Dodgers,1009878
1908,Rube Manning,Highlanders,1008069
1978,Don Aase,Angels,1000003
1950,Dave Koslo,Giants,1007118
1999,Jeff Weaver,Tigers,503
2010,Felipe Paulino,Astros,3777
1998,Tim Wakefield,Red Sox,219
2016,Julio Urias,Dodgers,14765
1943,Howie Krist,Cardinals,1007167
1987,Willie Fraser,Angels,1004306
1931,Art Herring,Tigers,1005726
1934,Ivy Andrews,Browns,1000253
1952,Ned Garver,- - -,1004556
1976,John Hiller,Tigers,1005817
1995,Julian Tavarez,Indians,541
1985,Shane Rawley,Phillies,1010719
2017,Madison Bumgarner,Giants,5524
2006,Scot Shields,Angels,35
1938,Vern Kennedy,Tigers,1006851
1970,Joe Niekro,Tigers,1009582
1915,Bert Humphries,Cubs,1006182
1967,Bill Hands,Cubs,1005303
1914,Ed Willett,Terriers,1013966
1923,Fred Heimach,Athletics,1005591
2007,Randy Johnson,Diamondbacks,60
2009,Justin Masterson,- - -,2038
1914,Ernie Shore,Red Sox,1011927
2000,Mike Stanton,Yankees,849
2011,Vinnie Pestano,Indians,4782
1916,Mike Prendergast,Cubs,1010519
1951,Bob Kuzava,- - -,1007226
2001,Derek Lowe,Red Sox,199
1959,Johnny Kucks,- - -,1007196
1936,Hal Schumacher,Giants,1011648
2010,John Axford,Brewers,9059
1989,Kevin Gross,Expos,1005088
1942,Murry Dickson,Cardinals,1003282
1939,Dizzy Dean,Cubs,1003106
1891,Pud Galvin,Pirates,1004469
2001,Kazuhiro Sasaki,Mariners,1098
1975,Roger Moret,Red Sox,1009168
1926,Garland Buckeye,Indians,1001618
1989,Randy Myers,Mets,1009427
1978,Bob Owchinko,Padres,1009914
1955,Jackie Collum,Redlegs,1002469
1953,Allie Reynolds,Yankees,1010860
1941,Steve Sundra,Senators,1012726
1936,Paul Dean,Cardinals,1003110
1985,Steve Crawford,Red Sox,1002749
1931,Fred Heimach,Robins,1005591
1996,Bruce Ruffin,Rockies,1011294
1884,John Clarkson,White Stockings,1002293
1920,Sherry Smith,Robins,1012205
2008,John Maine,Mets,4773
1910,Jim Scott,White Sox,1011684
1973,Ross Grimsley,Reds,1005071
1965,Diego Segui,Athletics,1011725
1986,Mark Clear,Brewers,1002330
1941,Art Johnson,Braves,1006420
1923,Guy Morton,Indians,1009232
1999,Pat Rapp,Red Sox,1010700
2005,Kyle Lohse,Twins,739
1990,Bobby Thigpen,White Sox,1012958
1994,Bob Scanlan,Brewers,1011489
2016,Matt Bush,Rangers,1246
1958,Bob Turley,Yankees,1013225
2013,Wade Miley,Diamondbacks,8779
1980,David Palmer,Expos,1009970
1956,Ruben Gomez,Giants,1004827
1997,John Wetteland,Rangers,1013815
1979,Dave Stieb,Blue Jays,1012532
1978,Rick Rhoden,Dodgers,1010887
1904,Tom Hughes,- - -,1006163
2009,J.A. Happ,Phillies,7410
2000,Arthur Rhodes,Mariners,1097
1979,Mark Littell,Cardinals,1007657
1958,Dick Hyde,Senators,1006248
1976,Bart Johnson,White Sox,1006422
1992,Gregg Olson,Orioles,1009791
1986,Rick Aguilera,Mets,1000086
1952,Spec Shea,Senators,1011841
1971,Jim McGlothlin,Reds,1008532
1994,Trevor Hoffman,Padres,1035
1964,Tracy Stallard,Mets,1012392
1998,Omar Olivares,Angels,1009771
1929,Al Grabowski,Cardinals,1004909
1984,Bob McClure,Brewers,1008400
1979,Matt Keough,Athletics,1006858
2002,Dave Burba,- - -,1239
2020,Pablo Lopez,Marlins,17085
1980,John Curtis,Padres,1002905
1990,Randy Tomlin,Pirates,1013111
1914,Herb Pennock,Athletics,1010161
2006,Brad Radke,Twins,748
1939,Joe Haynes,Senators,1005534
2013,Alex Wood,Braves,13781
2008,Shaun Marcum,Blue Jays,6204
2002,Ramon Ortiz,Angels,27
1947,Stubby Overmire,Tigers,1009911
1926,Jake Miller,Indians,1008903
1909,Bill Bailey,Browns,1000418
1923,Tony Kaufmann,Cubs,1006718
1973,Mike Marshall,Expos,1008144
1988,Jimmy Key,Blue Jays,1006885
2003,Freddy Garcia,Mariners,1077
1879,Bobby Mitchell,Blues,1008994
1939,Eddie Smith,- - -,1012132
2004,Keith Foulke,Red Sox,231
1905,Patsy Flaherty,Pirates,1004129
2019,Jordan Lyles,- - -,7593
1952,Bob Friend,Pirates,1004355
2019,Roberto Osuna,Astros,13764
1919,George Uhle,Indians,1013266
1948,Al Gettel,- - -,1004644
1988,Jeff Robinson,Tigers,1011073
1947,Tommy Hughes,Phillies,1006166
1981,Doyle Alexander,Giants,1000122
1985,Eric Show,Padres,1011937
2014,Francisco Liriano,Pirates,3201
2015,Mike Leake,- - -,10130
1932,Dick Coffman,- - -,1002391
1914,Boardwalk Brown,- - -,1001494
2000,Matt Clement,Padres,271
1983,Roy Thomas,Mariners,1012993
1924,Joe Genewich,Braves,1004609
1994,Greg McMichael,Braves,1008640
1998,Mike Williams,Pirates,1014
1973,Ernie McAnally,Expos,1008325
1958,Don Larsen,Yankees,1007359
2000,Adam Eaton,Padres,1029
1889,John Healy,- - -,1005547
1929,Clarence Mitchell,Cardinals,1008998
2005,Jose Valverde,Diamondbacks,1726
2009,Joakim Soria,Royals,6941
1910,Jack Pfiester,Cubs,1010266
1914,Mellie Wolfgang,White Sox,1014194
1914,Guy Morton,Naps,1009232
1950,Willard Nixon,Red Sox,1009610
2015,Kenley Jansen,Dodgers,3096
1925,Burleigh Grimes,Robins,1005061
2014,Yovani Gallardo,Brewers,8173
1942,Kirby Higbe,Dodgers,1005782
1889,Dan Casey,Quakers,1002036
2019,Giovanny Gallegos,Cardinals,14986
2012,Jose Quintana,White Sox,11423
1914,Cy Barger,Rebels,1000541
1968,Roger Nelson,Orioles,1009511
1994,Heathcliff Slocumb,Phillies,1012069
1955,Gene Conley,Braves,1002507
1954,Bob Feller,Indians,1003975
2016,Yordano Ventura,Royals,11855
1943,Yank Terry,Red Sox,1012931
2001,Josias Manzanillo,Pirates,996
2000,Willie Blair,Tigers,1001033
1975,John Hiller,Tigers,1005817
1927,Sam Gibson,Tigers,1004674
1978,Kip Young,Tigers,1014384
1970,Steve Kline,Yankees,1007005
1983,Gaylord Perry,- - -,1010210
1963,Stu Miller,Orioles,1008935
1998,Paul Quantrill,Blue Jays,669
1909,Rube Kroh,Cubs,1007170
2003,Nate Cornejo,Tigers,462
2002,Alan Embree,- - -,1030
1998,Pedro Astacio,Rockies,862
1945,Bill Zuber,Yankees,1014460
1921,Jim Bagby,Indians,1000411
1993,Dave Fleming,Mariners,1004145
1940,Bob Klinger,Pirates,1007007
1901,Dale Gear,Senators,1004582
1974,Geoff Zahn,Dodgers,1014410
2005,Mark Hendrickson,Devil Rays,1574
2012,Sean Doolittle,Athletics,1581
2019,Julio Teheran,Braves,6797
1972,Sam McDowell,Giants,1008476
1991,Jeff Montgomery,Royals,1009071
2002,Damaso Marte,White Sox,247
1977,Jim Rooker,Pirates,1011183
1933,Milt Gaston,White Sox,1004567
1942,Hal Schumacher,Giants,1011648
1993,Tom Henke,Rangers,1005649
2003,Rafael Soriano,Mariners,1100
2010,Bud Norris,Astros,9492
1961,Mudcat Grant,Indians,1004952
2012,Dillon Gee,Mets,7396
2019,Adrian Houser,Brewers,12718
1953,Johnny Lindell,- - -,1007619
2012,Tim Hudson,Braves,921
2009,Vicente Padilla,- - -,964
1989,Fernando Valenzuela,Dodgers,1013327
1885,Dan Casey,Wolverines,1002036
1912,Bert Humphries,Reds,1006182
1940,George Caster,Athletics,1002055
1899,Willie Sudhoff,- - -,1012670
1897,Bill Hill,Colonels,1005808
1969,Steve Blass,Pirates,1001058
2002,Troy Percival,Angels,29
2005,Bruce Chen,Orioles,769
1989,Randy Johnson,- - -,60
2019,Chad Green,Yankees,15552
1911,Art Fromme,Reds,1004375
1945,Vic Lombardi,Dodgers,1007722
1902,Bill Carrick,Senators,1001990
1938,Bill Harris,Red Sox,1005396
2002,J.C. Romero,Twins,754
1981,Dick Ruthven,Phillies,1011330
2017,Trevor Rosenthal,Cardinals,10745
1920,Dolf Luque,Reds,1007843
2015,Mat Latos,- - -,3815
1982,Bob Knepper,Astros,1007031
1967,Stan Williams,Indians,1014039
2017,Brandon Morrow,Dodgers,9346
2018,Matt Harvey,- - -,11713
1991,Greg Cadaret,Yankees,1001810
1964,Hank Fischer,Braves,1004068
1956,Gene Conley,Braves,1002507
